study_id,author,year,obs,grp,signaller_class,signaller_species,dominant_pred_taxa,pred_type,modality,continuous_or_discrete_manipulation,n_choice,yi,vi
s005,Godin & McDonough,2001,obs008,grp007,actinopterygii,Poecilia reticulata,actinopterygii,Predator,Visual,Continuous,22,0.762140052,0.20952381
s005,Godin & McDonough,2001,obs009,grp008,actinopterygii,Poecilia reticulata,actinopterygii,Predator,Visual,Continuous,22,0.559615788,0.196428571
s006,Johnson & Candolin,2017,obs011,grp010,actinopterygii,Gasterosteus aculeatus,actinopterygii,Predator,Visual,Continuous,16,1.098612289,0.333333333
s006,Johnson & Candolin,2017,obs012,grp011,actinopterygii,Gasterosteus aculeatus,actinopterygii,Predator,Visual,Continuous,16,1.466337069,0.41025641
s022,Moodie,1972,obs058,grp058,actinopterygii,Gasterosteus aculeatus,actinopterygii,Predator,Visual,Discrete,55,1.172720261,0.100732601
s022,Moodie,1972,obs059,grp059,actinopterygii,Gasterosteus aculeatus,actinopterygii,Predator,Visual,Discrete,60,0.619039208,0.073260073
s022,Moodie,1972,obs060,grp060,actinopterygii,Gasterosteus aculeatus,actinopterygii,Predator,Visual,Discrete,58,0.798507696,0.080555556
s023,Laumann et al.,2011,obs061,grp061,insecta,Euschistus heros,hymenoptera,Parasitoid,Vibratory,Discrete,9,2.079441542,1.125
s023,Laumann et al.,2011,obs062,grp062,insecta,Euschistus heros,hymenoptera,Parasitoid,Vibratory,Discrete,11,1.504077397,0.611111111
s023,Laumann et al.,2011,obs063,grp063,insecta,Euschistus heros,hymenoptera,Parasitoid,Vibratory,Discrete,12,0.693147181,0.375
s032,Pocklington & Dill,1995,obs078,grp078,actinopterygii,Poecilia reticulata,actinopterygii,Predator,Visual,Discrete,29,1.145132304,0.188311688
s045,Cushing,1985,obs112,grp102,mammalia,Peromyscus maniculatus bairdi,mammalia,Predator,Olfactory,Discrete,25,2.442347035,0.543478261
s053,Modarressie et al.,2013,obs145,grp126,actinopterygii,Gasterosteus aculeatus,actinopterygii,Predator,Visual,Discrete,37,0.733969175,0.123333333
s056,Lindstrom et al.,2006,obs166,grp147,insecta,Hygrolycosa rubrofasciata,aves,Predator,Auditory,Continuous,15,0.133531393,0.267857143
s056,Lindstrom et al.,2006,obs167,grp147,insecta,Hygrolycosa rubrofasciata,aves,Predator,Auditory,Continuous,15,0.693147181,0.3
s057,Moyaho et al.,2004,obs168,grp148,actinopterygii,Xenotoca variata,reptilia,Predator,Visual,Continuous,9,0.693147181,0.5
