study_id,author,year,obs,grp,signaller_class,signaller_species,dominant_pred_class_family,pred_type,modality,continuous_or_discrete_manipulation,yi,vi
s025,Fowler-Finn & Hebets,2001,obs065,grp065,arachnida,Schizocosa sp.,arachnida,Predator,Visual,Discrete,0.1,0.1
s025,Fowler-Finn & Hebets,2001,obs066,grp066,arachnida,Schizocosa sp.,arachnida,Predator,Visual,Discrete,0.09,0.1
s025,Fowler-Finn & Hebets,2001,obs067,grp067,arachnida,Schizocosa sp.,arachnida,Predator,Visual,Discrete,0.03,0.17
s041,Lehmann & Heller,1988,obs094,grp090,insecta,Poecilimon sp.,diptera,Parasitoid,Auditory,Continuous,1.19,0.07
s041,Lehmann & Heller,1988,obs095,grp091,insecta,Poecilimon sp.,diptera,Parasitoid,Auditory,Continuous,1.26,0.08
s001,Gotmark,1994,obs001,grp001,aves,Turdus merula,aves,Predator,Visual,Discrete,-1.41,0.13
s002,Vazquez et al.,2015,obs002,grp002,reptilia,Norops spp.,aves,Predator,Visual,Discrete,0.43,0.03
s002,Vazquez et al.,2015,obs003,grp003,reptilia,Norops spp.,aves,Predator,Visual,Discrete,0.64,0.03
s004,Stuart-Fox et al.,2002,obs006,grp005,reptilia,Ctenophorus decresii,aves,Predator,Visual,Continuous,0.39,0.02
s004,Stuart-Fox et al.,2002,obs007,grp006,reptilia,Ctenophorus vadnappa,aves,Predator,Visual,Continuous,0.4,0.03
s009,Ruiz-Rodriguez et al.,2012,obs019,grp018,aves,Coracias garrulus,aves,Predator,Visual,Discrete,0.53,0.06
s009,Ruiz-Rodriguez et al.,2012,obs020,grp019,aves,Merops apiaster,aves,Predator,Visual,Discrete,-0.09,0.05
s009,Ruiz-Rodriguez et al.,2012,obs021,grp020,aves,Alcedo atthis,aves,Predator,Visual,Discrete,0.38,0.04
s009,Ruiz-Rodriguez et al.,2012,obs022,grp021,aves,Upupa epops,aves,Predator,Visual,Discrete,0.61,0.41
s010,Biagolini-Jr & Perrella,2020,obs023,grp022,aves,Chiroxiphia caudata,aves,Predator,Visual,Discrete,-0.2,0.07
s024,Saavedra & Amo,2018,obs064,grp064,insecta,Operophtera brumata,aves,Predator,Olfactory,Discrete,1.18,0.19
s028,Baird,2009,obs072,grp072,reptilia,Crotaphytus collaris,aves,Predator,Visual,Discrete,-0.68,0.43
s030,Marshall et al.,2015,obs075,grp075,reptilia,Podarcis erhardii,aves,Predator,Visual,Discrete,0.57,0.1
s030,Marshall et al.,2015,obs076,grp076,reptilia,Podarcis erhardii,aves,Predator,Visual,Discrete,0.9,0.18
s031,Pestana et al.,2020,obs077,grp077,aves,nonspecific,aves,Predator,Visual,Discrete,0.11,0.12
s033,Olsson et al.,1993,obs079,grp079,reptilia,Lacerta agilis,aves,Predator,Visual,Discrete,-0.45,0.05
s034,Ellingson,1994,obs080,grp080,reptilia,Gonatodes albogularis,aves,Predator,Visual,Continuous,-0.82,0.07
s034,Ellingson,1994,obs081,grp081,reptilia,Gonatodes albogularis,aves,Predator,Visual,Discrete,0.83,0.06
s049,Ord et al.,2021,obs126,grp116,reptilia,Draco sumatranus,aves,Predator,Visual,Discrete,0.1,0.07
s049,Ord et al.,2021,obs127,grp116,reptilia,Draco sumatranus,aves,Predator,Visual,Discrete,-0.32,0.1
s049,Ord et al.,2021,obs128,grp117,reptilia,Draco sumatranus,aves,Predator,Visual,Discrete,0.03,0.04
s049,Ord et al.,2021,obs129,grp117,reptilia,Draco sumatranus,aves,Predator,Visual,Discrete,-0.91,0.12
s050,Cain et al.,2019,obs130,grp118,aves,Malurus sp.,aves,Predator,Visual,Discrete,-0.03,0.01
s050,Cain et al.,2019,obs131,grp118,aves,Malurus sp.,aves,Predator,Visual,Discrete,-0.02,0.01
s012,Martin & Wagner,2010,obs030,grp029,insecta,Gryllus lineaticeps,diptera,Parasitoid,Auditory,Continuous,0.4,0.07
s012,Martin & Wagner,2010,obs031,grp030,insecta,Gryllus lineaticeps,diptera,Parasitoid,Auditory,Continuous,0.76,0.07
s019,Hughes et al.,2010,obs042,grp042,reptilia,Mus domesticus,mammalia,Predator,Olfactory,Discrete,1.37,0.43
s019,Hughes et al.,2010,obs043,grp043,reptilia,Mus domesticus,mammalia,Predator,Olfactory,Discrete,0.66,0.25
s019,Hughes et al.,2010,obs044,grp044,reptilia,Mus domesticus,mammalia,Predator,Olfactory,Continuous,-0.71,0.44
s060,Koivula & Korpimaki,2003,obs174,grp154,mammalia,Microtus sp.,multiple,Predator,Olfactory,Discrete,0.42,0.17
s016,Arakaki et al.,1996,obs037,grp093,insecta,Euproctis taiwana,hymenoptera,Parasitoid,Olfactory,Discrete,0.92,0.25
s021,Arakaki et al.,2011,obs054,grp054,insecta,Orgyia postica,hymenoptera,Parasitoid,Olfactory,Discrete,3.78,0.54
s044,Harris & Todd,1980,obs111,grp101,insecta,Nezara viridula,diptera,Parasitoid,Olfactory,Discrete,0.01,0.33
s047,Hendrichs et al.,1994,obs115,grp105,insecta,Ceratitis capitata,hymenoptera,Parasitoid,Olfactory,Discrete,2.2,0.68
s047,Hendrichs et al.,1994,obs116,grp106,insecta,Ceratitis capitata,hymenoptera,Parasitoid,Olfactory,Discrete,3.09,0.42
s047,Hendrichs et al.,1994,obs117,grp107,insecta,Ceratitis capitata,hymenoptera,Parasitoid,Olfactory,Discrete,1.8,0.11
s047,Hendrichs et al.,1994,obs118,grp108,insecta,Ceratitis capitata,hymenoptera,Parasitoid,Olfactory,Discrete,1.89,0.12
s047,Hendrichs et al.,1994,obs119,grp109,insecta,Ceratitis capitata,hymenoptera,Parasitoid,Olfactory,Discrete,1.27,0.1
s070,Franco et al.,2011,obs239,grp193,insecta,Planococcus ficus,hymenoptera,Parasitoid,Olfactory,Discrete,6.96,1.39
s070,Franco et al.,2011,obs240,grp194,insecta,Planococcus ficus,hymenoptera,Parasitoid,Olfactory,Discrete,1.21,0.22
s070,Franco et al.,2011,obs241,grp195,insecta,Planococcus ficus,hymenoptera,Parasitoid,Olfactory,Discrete,4.26,0.64
